ID,Industry,Locale,Name,Subject,Content
9719,22,en_us,Contacts are ready,Contacts are ready,"[CustomerFirstName], your contacts are ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9681,12,en_us,Contacts are ready,Contacts are ready,"[CustomerFirstName], your contacts are ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9711,19,en_us,Estimate Follow-up,Estimate Follow-up,"[CustomerFirstName], any questions on your estimate? Call us at [BusinessPhone] if you have questions or would like to schedule an appointment."
9659,1,en_us,Estimate is ready,Estimate is ready,"[CustomerFirstName], we have your estimate ready at [BusinessName] please call us at [BusinessPhone] to discuss."
9721,22,en_us,Eyewear is ready,Eyewear is ready,"[CustomerFirstName], your eyewear is ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9683,12,en_us,Eyewear is ready,Eyewear is ready,"[CustomerFirstName], your eyewear is ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9723,22,en_us,Glasses and contacts are ready,Glasses and contacts are ready,"[CustomerFirstName], your glasses and contacts are ready for pickup. Call us at [BusinessPhone] if you have questions."
9685,12,en_us,Glasses and contacts are ready,Glasses and contacts are ready,"[CustomerFirstName], your glasses and contacts are ready for pickup. Call us at [BusinessPhone] if you have questions."
9725,22,en_us,Glasses are ready,Glasses are ready,"[CustomerFirstName], your glasses are ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9687,12,en_us,Glasses are ready,Glasses are ready,"[CustomerFirstName], your glasses are ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have any questions."
9727,22,en_us,How are your contacts?,How are your contacts?,"[CustomerFirstName], you recently picked up your contacts. We hope you are happy with them. Call us at [BusinessPhone] if you have questions."
9689,12,en_us,How are your contacts?,How are your contacts?,"[CustomerFirstName], you recently picked up your contacts. We hope you are happy with them. Call us at [BusinessPhone] if you have questions."
9729,22,en_us,How are your glasses?,How are your glasses?,"[CustomerFirstName], you recently picked up your glasses. We hope you are happy with them. Call us at [BusinessPhone] if you have questions."
9691,12,en_us,How are your glasses?,How are your glasses?,"[CustomerFirstName], you recently picked up your glasses. We hope you are happy with them. Call us at [BusinessPhone] if you have questions."
9731,22,en_us,How is your eyewear?,How is your eyewear?,"We hope you enjoy your new eyewear, [CustomerFirstName]. Call us at [BusinessPhone] if you have questions."
9693,12,en_us,How is your eyewear?,How is your eyewear?,"We hope you enjoy your new eyewear, [CustomerFirstName]. Call us at [BusinessPhone] if you have questions."
9745,36,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9743,35,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9741,34,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9739,33,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9737,24,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9735,23,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9733,22,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9717,21,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9713,19,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9709,18,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9707,17,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9705,16,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9703,15,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9699,14,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9697,13,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9695,12,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9679,11,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9675,10,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9673,4,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9671,3,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9665,2,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
9661,1,en_us,Missed Appointment,We're sorry you missed your appointment,"[CustomerFirstName], We're sorry you missed your appointment today at [BusinessName]. Please call us at [BusinessPhone] to reschedule."
15227,0,en_us,Offering Telehealth,Now offering Telehealth!,"Hi [CustomerFirstName], [BusinessName] is proud to announce that we now offer telehealth services. Please call us at [BusinessPhone]"
15226,0,en_us,Our office is closed,We'll be closed starting MM/DD/YYYY.,"Hi [CustomerFirstName], unfortunately [BusinessName] must cancel appointments on and after MM/DD/YY. We will contact you to reschedule."
15229,0,en_us,Our office is open,We'll be back on MM/DD/YYYY!,"Hi [CustomerFirstName], we're excited to inform you that [BusinessName] will be taking appointments starting MM/DD/YY. [BusinessPhone]"
9669,2,en_us,Pre-medication Reminder,Pre-medication reminder,"REMINDER: You require pre-medication prior to your dental treatment, please remember to take it 1 hour before your appointment."
9715,19,en_us,Vehicle is ready,Vehicle is ready,"[CustomerFirstName], Your vehicle is ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have questions or for hours of operation."
9701,14,en_us,Vehicle is ready,Vehicle is ready,"[CustomerFirstName], your vehicle is ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have questions."
9663,1,en_us,Vehicle is ready,Vehicle is ready,"[CustomerFirstName], your vehicle is ready for pickup at [BusinessName]. Call us at [BusinessPhone] if you have questions."
12266,10,en_us,We have missed seeing your smile,We have missed seeing your smile,"[CustomerFirstName], We have missed seeing your smile and it's time to schedule your next appointment at [BusinessName]. [BusinessPhone]"
9677,10,en_us,We have missed seeing your smile,We have missed seeing your smile,"[CustomerFirstName], We have missed seeing your smile and it's time to schedule your next appointment at [BusinessName]. [BusinessPhone]"
9667,2,en_us,We have missed seeing your smile,We have missed seeing your smile,"[CustomerFirstName], We have missed seeing your smile and it's time to schedule your next appointment at [BusinessName]. [BusinessPhone]"
